sentence_id,text,char_count,word_count,phoneme_count,complexity_tag,t_synth_start,t_front_end_end,t_acoustic_end,t_vocoder_end,t_audio_write_end,front_end_ms,acoustic_ms,vocoder_ms,write_ms,total_synth_ms,audio_duration_s,n_samples,sample_rate,rtf,energy_j,energy_wh,energy_per_speech_s,mean_cpu,peak_cpu,peak_temp,throttled_any,amp_energy_j,amp_energy_wh,amp_mean_w,amp_peak_w,cpu_energy_wh,cpu_mean_w,mem_energy_wh,mem_mean_w
REF,".La bise et le soleil se disputaient, chacun assurant qu'il était le plus fort.",79,14,,anchor,8399.051502381,8399.05744094,8399.481416257,8400.178760124,8400.253247075,0.003907000063918531,423.67876500065904,696.1662149988115,74.4606729986117,1201.7446939989895,3.889,85760,22050,0.3090112352787322,10.715555445437154,0.002976543179288098,2.7553498188318732,92.40704168175286,100.0,65.55,False,0.353372736331988,9.815909342555223e-05,0.32112252604166674,0.32241562500000004,0.001039810118598373,3.3475315737214753,0.00024880969842144314,0.8054275825521149
A1,.Le chat dort.,14,3,,short_plain,8402.253630915,8402.254037429,8402.465602801,8402.680069123,8402.723692242,0.0033150008675875142,211.45009499923617,213.73747899997397,43.59972999918682,470.06132699971204,1.173,25856,22050,0.4007342941174015,3.8193178835579724,0.001060921634321659,3.2560254761790044,81.31203503154724,95.1219512195122,65.0,False,0.12892802500189726,3.581334027830479e-05,0.3223346875,0.328575,0.0003661562066354531,3.1330647142678,8.111116651293527e-05,0.729141028665216
A2,.Le petit garçon mange une pomme rouge dans le jardin.,54,10,,medium_plain,8404.724093181,8404.724735915,8405.057981692,8405.513896664,8405.570435676,0.0042410010792082176,333.0158169992501,455.35775700045633,56.51753100028145,846.3424950004992,2.612,57600,22050,0.32402086332331514,7.571433986885776,0.002103176107468271,2.8987113272916445,92.75802437777764,97.5,65.55,False,0.22581005501132836,6.272501528092455e-05,0.32197734375000003,0.3223359375,0.0008476724207672231,4.21331030193875,0.00013883146437410494,0.696862618644125
A3,".Ce matin, je suis allé à la boulangerie du coin pour acheter du pain frais et deux croissants.",95,18,,long_plain,8407.570785267,8407.571308409,8408.045830907,8408.874992692,8408.955342533,0.003147999450447969,474.31714800040936,828.3240910004679,80.32559999992372,1384.5572659993195,4.644,102400,22050,0.2981389461669508,13.238394476816353,0.0036773317991156537,2.8506448055160103,89.93908980037268,100.0,67.2,False,0.41748768167222366,0.00011596880046450658,0.32149776785714285,0.3229734375,0.0014166248544378647,3.8586238804181425,0.0002452117210412239,0.6778506230267229
B1,.Les anciens amis ont attendu leurs enfants aux alentours.,58,9,,liaisons,8410.955800377,8410.956500998,8411.30585098,8411.806398807,8411.867700207,0.004239998816046864,349.07253999881505,500.0229249999393,61.276140999325435,911.8998300000385,2.833,62464,22050,0.32188486763149965,8.454634598037662,0.0023485096105660174,2.9843397804580523,89.8845713564942,100.0,66.65,False,0.2570832316689278,7.14120087969244e-05,0.3206571180555555,0.3228140625,0.0009209694406248257,4.025691755486422,0.00016794510093029404,0.7619653837114844
B2,".La Révolution française a éclaté le quatorze juillet mille sept cent quatre-vingt-neuf, près de Paris.",103,15,,number_words,8413.868065076,8413.868596996,8414.382630832,8415.263586425,8415.34347272,0.0030000010156072676,513.8176159998693,879.7143110004981,79.86501699997461,1475.40764400037,4.888,107776,22050,0.3018428076923834,14.491768319759354,0.004025491199933154,2.964764386202814,89.19856658816865,100.0,69.4,False,0.44982347456571903,0.00012495096515714418,0.3211114583333333,0.3228140625,0.0015814424416200283,3.9932463119550996,0.0002815869435440256,0.7120641116866226
B3,".Attends… es-tu vraiment sûr ? Non, c'est impossible !",54,9,,prosody_punct,8417.343828811,8417.3445161,8417.756579223,8418.436361623,8418.506407446,0.003888999344781041,411.8346630002634,679.2397019999044,70.01947200114955,1162.5786350014096,3.727,82176,22050,0.3119341655490769,11.105733211480393,0.003084925892077887,2.9798049936893998,88.81375909843013,100.0,68.3,False,0.35351408609596063,9.819835724887795e-05,0.3214643229166667,0.32241562500000004,0.0011779056422939467,3.7042749137255,0.00021284957855520118,0.6795717568833917
B4,.Monsieur Lenglet prendra le TGV de la SNCF jusqu'à Grenoble.,61,10,,proper_acronym,8420.50674921,8420.507225334,8420.863173939,8421.392608991,8421.454574541,0.00459300099464599,355.7789770002273,528.7073939998663,61.944864999532,947.8253309989668,2.902,64000,22050,0.326611072018941,8.667244630307856,0.0024075679528632933,2.9866452895616318,93.58631621789516,100.0,69.4,False,0.2556934561521042,7.102596004225117e-05,0.3199399305555556,0.32289375000000003,0.0009820009820335808,4.2284151740112215,0.0001653079528245263,0.7405409678392623
C1,".Le colis pèse trois virgule cinq kilos, coûte vingt-neuf virgule quatre-vingt-dix-neuf euros et arrivera vers quinze heures quarante-cinq.",139,18,,stacked_numbers,8423.454922031,8423.455768392,8424.171111789,8425.458406238,8425.560248948,0.004147999788983725,714.9494010009221,1286.4143290007632,101.8216910015326,2105.326917000639,7.105,156672,22050,0.29631624447581123,20.22582882604035,0.005618285785011208,2.8467035645376986,91.79518225729188,100.0,71.05,False,0.6392923744935876,0.00017758121513710765,0.31978303571428573,0.3223359375,0.0021110236916155522,3.7583804153642277,0.00041692433866363863,0.7454299905873286
C2,".Les poules du couvent couvent, tandis que les fils du tisserand tissent.",73,12,,homographs_g2p,8427.560570672,8427.56104726,8427.973441007,8428.665306517,8428.736418953,0.003258999640820548,412.21682299874374,691.1290919997555,71.09047300036764,1175.8482810000714,3.843,84736,22050,0.3059714496487305,11.18015680247489,0.0031055991117985805,2.9092263342375464,88.94846584947015,100.0,70.5,False,0.35382498115892275,9.828471698858966e-05,0.3219562500000001,0.327925,0.0011696199528871728,3.898413908941999,0.00023435908613282677,0.7705942505028017
